Geneid	3FG1	3FG2	3FG3	3FS1	3FS2	3FS3	3MG1	3MG2	3MG3	3MS1	3MS2	3MS3	3WM1	3WM2	3WM3
remanei_genome_00005744	31	67	32	19	28	26	0	0	0	3	0	2	0	22	4
remanei_genome_00005746	2077	2907	2521	3461	3194	6621	456	250	397	3062	3768	2432	4536	4906	4209
remanei_genome_00005749	853	165	89	2757	747	1840	771	350	499	2891	1742	1217	6098	5204	4696
remanei_genome_00005750	7149	5647	6840	26633	31659	66994	9433	7644	7154	35375	44949	19054	13190	15378	11258
remanei_genome_00005751	97	90	52	865	439	1210	85	60	101	787	1698	797	4434	4117	3399
remanei_genome_00005752	4	8	0	96	86	202	12	10	20	226	176	116	150	106	112
remanei_genome_00005755	1	0	4	25	30	56	4	8	4	24	200	45	152	130	99
remanei_genome_00005756	299	260	243	1627	1021	2399	207	117	178	3114	2887	2188	4450	4523	3421
remanei_genome_00005758	22	12	30	170	58	336	52	26	110	246	2807	424	4550	4700	4480
remanei_genome_00005759	71	33	30	478	280	768	136	47	67	823	992	442	611	616	307
remanei_genome_00005761	281	292	131	1794	1475	2207	318	141	174	1764	2497	1995	3340	3617	2951
remanei_genome_00005766	39	44	23	224	105	307	37	28	44	281	437	221	600	582	433
remanei_genome_00005767	22	12	4	288	104	332	52	8	24	658	635	215	415	392	312
remanei_genome_00005768	200	200	113	319	203	328	58	6	38	356	316	312	558	620	506
remanei_genome_00005770	1610	721	469	6330	2570	6187	1768	742	1096	6321	5508	4651	8272	7125	7139
remanei_genome_00005757	0	0	4	16	0	82	0	0	0	0	364	30	0	6	66
remanei_genome_00005760	1373	448	345	4330	1957	3448	1666	522	737	6518	3660	2531	4483	4986	4530
remanei_genome_00005762	74	20	16	183	142	332	21	22	14	138	541	172	2326	2457	2663
remanei_genome_00005763	4033	1661	2426	8285	4816	10656	3619	2428	2895	6183	9172	5558	9066	8714	6655
remanei_genome_00005764	0	0	0	0	1	1	0	0	0	0	0	0	0	5	4
remanei_genome_00005765	0	0	0	0	1	1	0	0	0	0	0	0	0	5	4
remanei_genome_00005769	2601	1445	1141	6343	5435	8378	5364	3676	4967	10647	18080	11186	6672	5055	5361
remanei_genome_00005771	42	16	16	148	116	232	32	6	12	223	184	234	310	232	110
remanei_genome_00005776	35	27	46	270	295	908	52	10	44	499	928	389	1719	2078	1676
remanei_genome_00005778	246	96	110	1923	876	3523	392	84	150	2788	1538	650	462	624	479
remanei_genome_00005779	28	75	40	90	100	184	4	4	6	147	150	37	131	94	91
remanei_genome_00005782	109	27	7	285	124	198	100	71	23	280	297	270	459	376	500
remanei_genome_00005783	652	707	541	3786	2525	5237	530	525	761	2511	6257	3436	10945	11540	8836
remanei_genome_00005785	0	4	10	38	40	194	2	0	12	42	126	55	108	155	97
remanei_genome_00005786	10	4	6	102	80	150	8	14	20	287	558	140	572	648	474
remanei_genome_00005772	103	58	78	480	327	952	74	45	73	1041	1377	802	2147	2024	1457
remanei_genome_00005773	26	4	4	419	106	159	46	6	28	286	324	278	550	410	491
remanei_genome_00005774	8	62	100	520	468	2544	4	52	68	108	7297	420	6132	9264	7370
remanei_genome_00005775	14	5	14	64	39	110	8	2	12	85	114	68	366	272	276
remanei_genome_00005777	2	10	26	97	29	405	30	24	34	68	4685	21	1892	4098	3357
remanei_genome_00005780	69	156	235	805	587	3271	25	111	130	128	949	479	266	336	200
remanei_genome_00005781	34	34	8	293	162	366	35	20	16	504	519	220	2748	2610	2150
remanei_genome_00005784	3077	3786	2399	3674	2987	4844	609	379	419	2045	2649	1798	5074	5940	4491
remanei_genome_00005787	8	4	10	80	56	437	8	4	2	54	712	126	286	72	81
remanei_genome_00005789	9391	8972	9135	25051	23009	60813	3969	4142	7508	14409	62023	39034	89010	78124	67219
remanei_genome_00005791	0	0	0	8	16	16	8	16	10	55	104	48	26	52	32
remanei_genome_00005792	62	38	32	212	122	264	80	68	50	422	343	276	582	591	567
remanei_genome_00005793	70	44	27	44	45	44	3	2	6	97	114	80	294	245	190
remanei_genome_00005798	4	2	10	128	58	260	6	0	4	60	62	10	40	40	36
remanei_genome_00005799	1232	1376	1266	1782	1711	2934	334	192	228	2437	2333	1352	1969	2234	1814
remanei_genome_00005800	4093	4374	2576	5609	4131	6930	1187	535	839	3454	4861	3940	8157	8114	7423
remanei_genome_00005788	194	154	126	534	235	331	129	132	85	399	814	667	3881	3197	3884
remanei_genome_00005790	54	14	2	192	104	223	51	21	35	449	408	234	279	213	208
remanei_genome_00005794	10	2	6	4	0	2	10	2	22	0	4	0	0	0	8
remanei_genome_00005795	1256	706	211	5714	2759	4201	920	750	1159	5678	7806	4167	21680	18939	19851
remanei_genome_00005796	22	18	30	303	224	471	46	22	73	645	827	380	681	880	631
remanei_genome_00005797	5325	8396	8289	23108	34104	63596	20446	9585	4160	70418	28285	16999	17025	15563	13264
remanei_genome_00005801	201	231	150	288	190	399	66	22	49	371	399	179	478	497	567
remanei_genome_00005826	2766	2693	1769	3364	2646	3673	667	227	522	2319	3177	2369	8328	8435	7034
remanei_genome_00005827	8	8	12	166	118	194	30	12	22	294	324	230	806	600	760
remanei_genome_00005830	11	0	2	50	22	48	10	18	6	34	82	35	44	49	27
remanei_genome_00005832	2570	3031	3614	3521	4770	8988	471	382	567	2251	6542	1981	3366	3882	3242
remanei_genome_00005834	170	111	47	348	170	447	50	26	48	210	430	181	1293	1130	987
remanei_genome_00005835	18	8	20	142	90	200	4	18	16	188	135	36	452	557	350
remanei_genome_00005836	12927	10421	14102	42042	33997	109774	13035	10748	14442	61925	117095	59993	88470	66945	57300
remanei_genome_00005825	3241	3211	1599	4850	3646	4235	941	299	573	3896	2710	2821	7627	8500	7208
remanei_genome_00005828	28	20	13	167	137	261	36	20	26	271	311	319	992	1057	766
remanei_genome_00005829	933	278	478	2693	1682	3634	950	304	700	3613	2769	2408	3062	3679	3079
remanei_genome_00005831	47	10	4	44	33	60	1	2	12	18	233	58	1765	2174	2241
remanei_genome_00005833	1100	717	648	1384	980	1187	577	168	279	1583	1186	818	1878	2110	1719
remanei_genome_00005837	193	86	53	892	278	732	564	165	422	1242	1072	1098	3018	2186	2852
remanei_genome_00005838	4	10	4	58	24	102	0	12	8	110	424	94	286	561	456
remanei_genome_00005802	3668	581	465	8499	2433	4819	4512	1090	1062	15292	3871	3782	6942	8625	6283
remanei_genome_00005804	9	2	6	50	8	52	10	0	4	73	30	8	92	220	83
remanei_genome_00005806	2576	742	699	6880	3576	6740	2695	1233	1320	7768	4035	3366	3981	3944	4007
remanei_genome_00005807	745	110	95	1392	502	1273	696	310	244	1720	1259	492	369	699	367
remanei_genome_00005808	42	50	60	641	671	1689	77	81	116	1378	2349	1347	2432	2541	1970
remanei_genome_00005811	1832	1258	953	3748	2281	3547	766	303	510	3661	3843	3060	7593	7809	7199
remanei_genome_00005813	202	335	204	3884	3491	4800	136	180	336	3003	4077	2674	3008	2982	1891
remanei_genome_00005814	128	92	72	415	156	268	193	252	114	734	1168	705	1307	1287	866
remanei_genome_00005824	2	0	8	4	12	4	4	0	2	4	4	2	0	14	30
remanei_genome_00005803	168	52	23	602	295	379	110	88	62	870	424	511	5445	6709	4179
remanei_genome_00005805	73	18	16	284	128	294	82	38	90	378	561	371	861	806	961
remanei_genome_00005809	2182	810	1125	11287	4642	11076	8311	3740	2759	27625	11941	12873	12184	12072	9424
remanei_genome_00005810	1188	851	376	1826	881	1362	463	236	359	1920	2421	1448	9326	7049	8056
remanei_genome_00005812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
remanei_genome_00005815	0	0	4	20	0	2	2	0	4	884	506	188	242	176	192
remanei_genome_00005816	166	124	166	162	134	255	236	308	193	630	1481	582	216	222	198
remanei_genome_00005817	696	350	625	869	316	973	58	32	24	451	298	174	204	198	257
remanei_genome_00005818	274	221	277	271	89	243	22	11	6	34	13	18	44	20	44
remanei_genome_00005819	6	4	0	4	2	0	0	0	0	0	2	0	0	0	2
