Geneid	8FG1	8FG2	8FG3	8FS1	8FS2	8FS3	8MG1	8MG2	8MG3	8MS1	8MS2	8MS3	8WM1	8WM2	8WM3
latens_genome_00001660	10789	15509	11004	9458	10043	6083	1463	869	538	945	1153	1173	2664	6362	2915
latens_genome_00001662	3183	4962	3483	6072	6968	4030	602	372	130	1900	2779	930	2177	2672	1757
latens_genome_00001664	454	318	222	3011	3210	2820	454	638	128	1392	1985	1181	2124	1751	1651
latens_genome_00001665	1484	710	508	8109	7161	6921	646	940	570	3309	6103	9169	5169	4636	4258
latens_genome_00001667	0	0	4	3	0	4	4	2	2	0	4	4	0	12	8
latens_genome_00001668	6	12	8	12	16	24	202	554	20	40	82	10	60	16	34
latens_genome_00001642	62	38	180	176	122	724	66	96	164	254	414	912	358	178	288
latens_genome_00001644	4	28	8	152	105	256	22	332	82	3774	5006	3524	562	298	265
latens_genome_00001645	1958	1096	1141	4588	4807	5604	1349	1156	684	2485	3107	3029	4799	4598	4340
latens_genome_00001647	75	62	54	200	164	232	48	27	64	88	63	114	335	209	324
latens_genome_00001651	154	10	96	366	108	359	60	42	58	82	42	288	604	373	504
latens_genome_00001652	340	42	182	634	306	764	128	116	26	185	173	162	517	286	426
latens_genome_00001654	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
latens_genome_00001656	1	4	6	20	16	14	16	42	4	78	80	87	810	396	310
latens_genome_00001657	6	0	6	2	0	4	92	78	12	21	27	12	13	0	15
latens_genome_00001658	1252	0	370	412	6	150	31709	64909	15238	10646	11170	3472	5292	2308	2185
latens_genome_00001661	456	352	365	1306	1394	1317	386	603	256	1757	1437	889	850	726	844
latens_genome_00001663	538	271	174	1457	1033	629	380	238	389	954	1253	2302	618	463	478
latens_genome_00001666	20	26	485	136	148	5820	34	7	2872	160	34	52599	6923	6426	4111
latens_genome_00001669	1	0	2	8	8	14	6	45	44	34	34	10	20	4	0
latens_genome_00001670	295	62	78	1128	598	1042	272	244	88	1505	1422	498	593	422	474
latens_genome_00001671	2	0	0	6	14	8	4	10	0	10	40	5	2	6	0
latens_genome_00001672	8820	2981	6878	25010	30045	36164	7220	5138	4771	14564	26182	31169	81268	72493	87844
latens_genome_00001650	431	467	656	777	713	1016	192	158	40	480	609	439	1051	1149	858
latens_genome_00001643	0	0	0	0	0	0	0	0	0	2	3	1	1	0	0
latens_genome_00001747	2661	2693	3149	2534	2914	2739	1070	390	665	1454	1197	2992	9668	8998	7159
latens_genome_00001752	6	12	6	8	10	34	16	18	4	102	34	10	12	6	2
latens_genome_00001756	26	3	8	46	14	26	536	863	995	134	222	254	360	129	140
latens_genome_00001759	1123	320	580	1880	1038	1600	1164	502	773	1439	1298	2407	2906	2753	1684
latens_genome_00001762	7699	10589	13116	8809	9598	9044	3256	5474	2080	4471	4988	4741	3965	4080	3988
latens_genome_00001763	216	101	146	1022	704	994	125	186	70	546	835	564	516	408	336
latens_genome_00001764	311	336	224	353	371	224	160	167	140	179	159	152	1653	1151	974
latens_genome_00001748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
latens_genome_00001750	3672	2892	4395	2851	2373	2641	347	106	312	668	748	1722	5074	6320	4246
latens_genome_00001751	6639	3839	4477	3946	3252	4236	211	100	317	435	574	1058	5474	12173	6077
latens_genome_00001753	250	141	197	575	356	344	150	142	52	663	438	215	537	356	245
latens_genome_00001754	25530	15254	20762	15355	14765	14987	8305	2620	6728	3992	3712	6608	18333	26575	16033
latens_genome_00001755	4	6	0	2	0	2	56	144	14	12	20	12	4	18	10
latens_genome_00001757	776	554	839	1487	1927	3110	4525	5600	2954	4023	2664	3324	7567	5173	5212
latens_genome_00001758	52909	70697	55880	40360	50485	34088	18555	7574	9111	11559	7734	15204	26795	31576	20595
