"","Var1","Var2","Freq","Sample"
"130","-1","ambiguous",801,"ms_H2"
"131","0","ambiguous",739,"ms_H2"
"132","1","ambiguous",1045,"ms_H2"
"133","-1","C. latens dominant",308,"ms_H2"
"134","0","C. latens dominant",338,"ms_H2"
"135","1","C. latens dominant",446,"ms_H2"
"136","-1","C. remanei dominant",192,"ms_H2"
"137","0","C. remanei dominant",256,"ms_H2"
"138","1","C. remanei dominant",321,"ms_H2"
"139","-1","no change",1834,"ms_H2"
"140","0","no change",1156,"ms_H2"
"141","1","no change",1757,"ms_H2"
"142","-1","Overdominant",554,"ms_H2"
"143","0","Overdominant",1136,"ms_H2"
"144","1","Overdominant",943,"ms_H2"
"145","-1","Underdominant",269,"ms_H2"
"146","0","Underdominant",260,"ms_H2"
"147","1","Underdominant",427,"ms_H2"
